state,num_pincodes,total_enrolments,enrol_0_5,enrol_5_17,enrol_18_plus,demo_updates,bio_updates,avg_daily_rate
Uttar Pradesh,6224,2642461,1356069,1241802,44590,19904859.0,22354666.0,12.284391165246765
West Bengal,16632,2342478,1724364,575077,43037,21720686.0,14605873.0,11.643196955691177
Telangana,19705,2070404,1643635,411027,15742,15539366.0,16866313.0,4.361677193423563
Bihar,3945,1881926,839527,1010565,31834,13499378.0,14263060.0,18.525777557409686
Madhya Pradesh,3254,1444532,1061069,355918,27545,6881409.0,14576472.0,9.127408129824833
Maharashtra,7567,1261402,938110,295723,27569,14784954.0,25625569.0,3.5120793097530543
Karnataka,11013,956305,759960,149954,46391,7463324.0,11314868.0,7.3512805269575265
Gujarat,4836,953856,623457,271172,59227,5057647.0,9715731.0,10.34042804619218
Jharkhand,3668,925291,592865,324097,8329,6646803.0,10604720.0,13.593800940385071
Assam,3152,795493,502664,225664,67165,3132423.0,3381426.0,5.639534569638479
Odisha,10411,782106,639166,137311,5629,4359361.0,9549724.0,2.033509721771585
Rajasthan,2508,723010,472755,239724,10531,4788980.0,7101075.0,5.465324035879186
Andhra Pradesh,22461,717618,613025,98332,6261,17632805.0,23907839.0,1.7944789780823829
Chhattisgarh,3833,714640,564350,138183,12107,11166971.0,13571581.0,6.641634557170569
Tamil Nadu,9018,598518,490105,105210,3203,5756981.0,11304645.0,1.8954389292170932
Meghalaya,409,539300,110042,256656,172602,380187.0,374818.0,21.78023765356873
Delhi,448,344310,243670,95192,5448,4681231.0,5056366.0,16.603321025359616
Jammu and Kashmir,1417,230569,189545,38803,2221,1364935.0,2639580.0,3.091466970330898
Haryana,783,230121,207849,20316,1956,2603398.0,3316757.0,13.75050296535356
Punjab,2651,218024,178511,30972,8541,2821615.0,4754541.0,3.1601268976598718
Nagaland,475,131458,42313,77818,11327,294230.0,715962.0,5.068156902395321
Kerala,1780,91979,66517,22457,3005,877857.0,1941816.0,1.619387683741033
Uttarakhand,722,85351,71493,13277,581,982178.0,1661155.0,2.4567143565267937
Manipur,893,68673,29304,38284,1085,2043244.0,1999869.0,2.003780561985648
Tripura,467,37337,23708,12706,923,427367.0,876717.0,2.11490484745088
Sikkim,760,34234,15371,17196,1667,213657.0,283396.0,3.720936671131336
Orissa,4371,33604,28965,4639,0,1991509.0,4440416.0,1.099720053898225
Puducherry,616,28455,26465,1500,490,199517.0,448527.0,1.4751301944004174
Pondicherry,527,22395,21143,1252,0,166899.0,376753.0,1.45848944043037
Himachal Pradesh,742,21171,20149,815,207,175095.0,464662.0,1.3386492847006046
Mizoram,342,18930,13251,3909,1770,131485.0,423480.0,2.1786467161074032
Arunachal Pradesh,249,17072,7214,9261,597,127259.0,239125.0,2.0169821664620655
Chandigarh,150,12970,12200,696,74,218584.0,250913.0,2.0573829777531043
The Dadra And Nagar Haveli And Daman And Diu,16,11456,8768,2256,432,26120.0,97520.0,358.0
Dadra and Nagar Haveli,56,11264,10128,1080,56,40108.0,132384.0,3.5122543980053607
Jammu And Kashmir,10,4876,2798,1896,182,26758.0,66626.0,487.6
Ladakh,86,4309,3237,922,150,25139.0,30750.0,1.689893628034873
Goa,141,4149,3457,452,240,52750.0,98529.0,1.3310316206588904
Dadra and Nagar Haveli and Daman and Diu,101,2125,1637,251,237,52597.0,159969.0,1.2524795336676524
Andaman and Nicobar Islands,83,1978,1834,144,0,17051.0,42710.0,1.2956595349271316
Daman and Diu,54,1080,963,117,0,12849.0,28653.0,1.2054664289958408
Andaman & Nicobar Islands,105,942,912,30,0,22072.0,54029.0,1.0857354425023598
Jammu & Kashmir,273,694,588,106,0,359713.0,561821.0,1.0306645735217164
Dadra & Nagar Haveli,16,400,352,48,0,26120.0,97520.0,1.0416666666666667
West  Bengal,76,280,158,122,0,65608.0,54184.0,1.0
100000,1,218,0,1,217,2.0,0.0,9.909090909090908
Lakshadweep,9,203,192,10,1,1176.0,4820.0,1.2568429367678933
Daman & Diu,45,189,180,9,0,12489.0,27585.0,1.0285714285714285
West Bangal,86,164,107,57,0,145762.0,99336.0,1.2906976744186047
West bengal,42,138,108,30,0,36670.0,41648.0,1.0
WEST BENGAL,61,133,97,36,0,33877.0,28567.0,1.0
Westbengal,39,75,27,48,0,8109.0,5570.0,1.0
andhra pradesh,29,56,56,0,0,31308.0,27430.0,1.0
WESTBENGAL,25,25,25,0,0,5305.0,5455.0,1.0
ODISHA,16,16,16,0,0,11824.0,23340.0,1.0
